epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,905.773,0.38782,0.51878,0.87483,0.85917,0.86905,0.89258,0.7914,0.48362,0.56141,0.9271,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,915.696,0.38874,0.53312,0.87968,0.93715,0.7918,0.88714,0.77953,0.48371,0.55777,0.92914,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,951.09,0.32206,0.61468,0.81494,0.91238,0.801,0.89081,0.79061,0.49562,0.56504,0.94456,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,960.789,0.3131,0.59004,0.81697,0.90006,0.79836,0.88565,0.78059,0.50225,0.56794,0.95011,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,970.298,0.29869,0.60485,0.80966,0.86048,0.84391,0.89041,0.77655,0.5088,0.57935,0.95419,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,979.96,0.31151,0.6048,0.80851,0.85829,0.85026,0.89042,0.7776,0.49895,0.57717,0.95142,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,989.526,0.29532,0.59722,0.80135,0.89602,0.80639,0.889,0.77863,0.49402,0.56805,0.94413,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,999.599,0.28338,0.57249,0.80202,0.86616,0.84808,0.89284,0.78815,0.49174,0.55626,0.94167,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,1009.01,0.29352,0.57603,0.80485,0.82607,0.8804,0.89062,0.7781,0.49054,0.55525,0.94323,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,1018.44,0.28781,0.56708,0.80501,0.85637,0.87297,0.8923,0.78642,0.48718,0.55432,0.94487,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,1027.3,0.28157,0.56977,0.80366,0.83713,0.8738,0.89385,0.79174,0.48398,0.5483,0.93755,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,1037.3,0.28353,0.55753,0.78753,0.83448,0.87258,0.89237,0.78877,0.48185,0.54635,0.93638,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
